run_id,category,run_date,status,results_path,original_output_root,git_commit,git_dirty,doc_link,headline_result
transmission_20260818,transmission,2026-08-18,frozen,results/transmission_20260818/,outputs/transmission_reduction_full_20260818_043425/,unknown,unknown,docs/experiments/2026-08-18_transmission_reduction.md,"provisional candidate skem_int4: mean_total_bundle_bytes=2394550.1 bytes/video, ΔPSNR=-0.13dB vs fixed_awgn (provisional analog baseline — fixed_int16/skem_int16 ran but excluded for 52 NaN/Inf frames, float32 digital not run); see results/transmission_20260818/README.md and manifest.json"
transmission_normalization_20260826,transmission,2026-08-26,frozen,results/transmission_normalization_20260826/,outputs/transmission_normalization_parallel_20260826_093313/,607f72798da24dc3e0c065574efcf6fce90683f3,false,docs/experiments/2026-08-26_transmission_normalization.md,"reliable-digital baseline fixed_float32 established; 10 videos x 100 frames x 11 configs, 110/110 pairs completed, 0 failed / 0 NaN-Inf. fixed_int6=conservative candidate (26.46% bytes/frame reduction, ΔPSNR=-0.01dB), fixed_int4=max-reduction candidate (28.49%, ΔPSNR=-0.11dB), skem_int4=provisional (31.62%, byte-min in pareto_frontier.csv but rate_matching only 35/50 within 10% tolerance). PROVISIONAL: float32 digital absolute quality far below AWGN reference (PSNR 11.32 vs 23.34dB) — Tx/Rx step-contract root cause unresolved; see results/transmission_normalization_20260826/README.md and manifest.json"
float32_digital_normalization_full_20260827,diagnostics,2026-08-27,frozen,results/float32_digital_normalization_full_20260827/,outputs/f32dig_20260827_164017/,c5721cb6f3501af53555137fb0aaf131b5c2d71b,unknown,docs/experiments/2026-08-28_float32_digital_step_normalization_full.md,"10dB fixed-reference full: 3 core conditions x 100 frames, 0 failures/non-finite/conflicts; digital wire - AWGN mean PSNR +0.721dB, 300/300 float32 round-trips bit-exact, max in-process/wire PSNR delta 0.000752dB; instrumented 20/20 and metric-only stage6 300/300 no_issue_detected"
quantization_reevaluation_10db_20260828,transmission,2026-08-28,frozen,results/quantization_reevaluation_10db_20260828/,outputs/transmission_normalization_parallel_20260827_225722/,6d6c4ed60c05f91794bc5a2b9b71e18c022b1521,unknown,docs/experiments/2026-08-28_quantization_reevaluation_10db.md,"10 videos x 6 fixed configs at 10dB: 60/60 pairs, 0 failed/non-finite; int16/int8/int6/int4 all pass quality limits vs fixed_float32, minimum passing bit-depth fixed_int4 with 28.45% byte reduction, PSNR drop 0.0526dB, SSIM drop 0.00201, LPIPS rise -0.000487; AWGN excluded from digital Pareto baseline"
fixed_skem_matched_rate_10db_20260828,transmission,2026-08-28,frozen,results/fixed_skem_matched_rate_10db_20260828/,outputs/fixed_skem_matched_rate_10db_20260828_011620/,2218824f301ad238129a72ade42b0210be2f21a5,false,docs/experiments/2026-08-28_fixed_skem_matched_rate_10db.md,"10 videos x 10 digital configs at 10dB: 100/100 pairs and 50/50 rate rows pass, 0 failed/non-finite; actual transmitting counts exact and max raw byte diff 0.004953%, padding yields exact effective bytes. Proxy SKEM converges to identical fixed keyframe/transmission schedules on 10/10 videos, so quality deltas are exactly zero and provide no selector advantage; fixed_int4 remains the operating point"
edge_uncertainty_ablation_10db_20260828,transmission,2026-08-28,frozen,results/edge_uncertainty_ablation_10db_20260828/,outputs/edge_uncertainty_ablation_10db_20260828_051915/,1d33fa312d0f6c540a319e791102f98b5f0118b7,false,docs/experiments/2026-08-28_edge_uncertainty_ablation_10db.md,"10 videos x 16 guide profiles at fixed_int4/10dB: 160/160 pairs, 0 failed/non-finite, 3-GPU provenance and packet component accounting pass. combined_ds4 is the minimum tested profile at 356824.7 bytes/video (-85.11%) with negligible pixel-metric deltas; provisional only because uncertainty is bypassed by the reliable-digital decoder and mixed omit/downsample plus semantic/temporal validation remain"
integrated_semantic_validation_10db_20260829,evaluation,2026-08-29,frozen,results/integrated_semantic_validation_10db_20260829/,outputs/integrated_semantic_validation_10db_20260828_093017/,5a8f2aa357925776b3c472aebbc0a3967ae17001,false,docs/experiments/2026-08-29_integrated_semantic_validation_10db.md,"10 videos x 3 decoder policies x 4 guide profiles at fixed_int4/10dB: 120/120 pairs and 12000 frames, 0 failed/non-finite. Mean-gate development candidate few10+both-omit cuts bytes 90.843% and reconstruction time 63.486%; pixel/closed-semantic gates pass, but hallucination/additional-object CI upper bounds 0.0525/0.057 exceed 0.05, so held-out confirmation is required. VAE-direct fails SSIM margin"
negative_semantics_g1_pilot_rtx4080_v1_1,evaluation,2026-09-04,frozen,results/negative_semantics_g1_pilot_rtx4080_v1_1/,outputs/negative_semantics_g1_pilot_rtx4080_v1_1/,aae9e268dccce2cf3db9727720fa8f64883c1ad0,false,docs/experiments/2026-09-06_negative_semantics_g1_v1_1_pilot_results.md,"OVIS Pilot 40 videos x {few10,full50} x 3 declared seeds, 6 child runs x 40 videos = 240/240 completed, 0 failed pairs, held-out not accessed. Declared-seed gate_status PASSED (few10 primary), but reconstruction never consumes seed: effective_seed_count=1 for both policies (bit-identical PNG/score across seeds 2025/2026/2027). Reapplying the frozen gate thresholds to the effective-seed view flips affected_seed_count and not_concentrated_in_one_seed to FAIL (NOT_PASSED); see the v1.2 amendment run for the source-paired additional-object split."
negative_semantics_g1_pilot_rtx4080_v1_1_derived_v1_2,evaluation,2026-09-06,frozen,results/negative_semantics_g1_pilot_rtx4080_v1_1_derived_v1_2/,outputs/negative_semantics_g1_pilot_rtx4080_v1_1_derived_v1_2/,aae9e268dccce2cf3db9727720fa8f64883c1ad0,true,docs/experiments/2026-09-06_negative_semantics_g1_v1_2_amendment.md,"Read-only re-derivation from the frozen v1.1 detection_rows.jsonl (no GPU/reconstruction rerun): effective_seed_count=1 confirmed for few10/full50; source-paired additional-object rate roughly halves the raw H_add (few10 0.019793->0.010493, full50 0.018536->0.009081, the latter below h_add_min=0.01); ghost-survival uncensored sample shrinks to 4/policy (12 right-censored) once seed triplication is removed."
negative_semantics_g1_pilot_rtx4080_v1_1_derived_v1_2b,evaluation,2026-09-06,frozen,results/negative_semantics_g1_pilot_rtx4080_v1_1_derived_v1_2b/,outputs/negative_semantics_g1_pilot_rtx4080_v1_1_derived_v1_2b/,aae9e268dccce2cf3db9727720fa8f64883c1ad0,true,docs/experiments/2026-09-06_negative_semantics_g1_v1_2_amendment.md,"Hash-verified re-derivation of the v1.2 amendment: independently sha256-hashed all 15,570 v1.1 reconstruction PNGs across 6 child runs and cross-validated that against the detector-score-based seed grouping (seed_evidence_method=score_and_hash_dual_verified) before trusting effective_seed_count=1. Same numeric conclusions as negative_semantics_g1_pilot_rtx4080_v1_1_derived_v1_2 (few10 h_add 0.019793->0.010493 source-paired, full50 0.018536->0.009081 below h_add_min=0.01, gate_reapplication effective_seed_status=NOT_PASSED); this run supersedes only the evidence quality, not the prior frozen result, which is kept unmodified."
